Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,242128000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1116430000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,2906773000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,5727554000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,3223444000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,39314000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,871440000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5219208000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,15573804000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,1610870000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1276229000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1214476000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,343592000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,4443199000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2228395000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,53405000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,21368653000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,4184885000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,666667000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1576681000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5519241000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7927064000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1268722000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,433595000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,974341000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,58037000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1585235000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,2021220000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,5806676000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,10420801000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5818775000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2966293000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,6647840000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,28535061000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,46347000
